thick,crossplane,y,x,r,temp
1.25893e-09,0.756279,1,2,0.2,300
1.58489e-09,0.850536,1,2,0.2,300
1.99526e-09,0.950066,1,2,0.2,300
2.51189e-09,1.05457,1,2,0.2,300
3.16228e-09,1.16383,1,2,0.2,300
3.98107e-09,1.2777,1,2,0.2,300
5.01187e-09,1.39612,1,2,0.2,300
6.30957e-09,1.51913,1,2,0.2,300
7.94328e-09,1.64684,1,2,0.2,300
1e-08,1.77945,1,2,0.2,300
1.25893e-08,1.91722,1,2,0.2,300
1.58489e-08,2.06051,1,2,0.2,300
1.99526e-08,2.2097,1,2,0.2,300
2.51189e-08,2.36522,1,2,0.2,300
3.16228e-08,2.52752,1,2,0.2,300
3.98107e-08,2.69705,1,2,0.2,300
5.01187e-08,2.8742,1,2,0.2,300
6.30957e-08,3.05931,1,2,0.2,300
7.94328e-08,3.25259,1,2,0.2,300
1e-07,3.45408,1,2,0.2,300
1.25893e-07,3.66363,1,2,0.2,300
1.58489e-07,3.88083,1,2,0.2,300
1.99526e-07,4.10506,1,2,0.2,300
2.51189e-07,4.33541,1,2,0.2,300
3.16228e-07,4.57074,1,2,0.2,300
3.98107e-07,4.8097,1,2,0.2,300
5.01187e-07,5.05076,1,2,0.2,300
6.30957e-07,5.29227,1,2,0.2,300
7.94328e-07,5.53243,1,2,0.2,300
1e-06,5.76937,1,2,0.2,300
1.25893e-06,6.0011,1,2,0.2,300
1.58489e-06,6.22557,1,2,0.2,300
1.99526e-06,6.44071,1,2,0.2,300
2.51189e-06,6.64446,1,2,0.2,300
3.16228e-06,6.83493,1,2,0.2,300
3.98107e-06,7.0105,1,2,0.2,300
5.01187e-06,7.17001,1,2,0.2,300
6.30957e-06,7.31277,1,2,0.2,300
7.94328e-06,7.43869,1,2,0.2,300
1e-05,7.54819,1,2,0.2,300
1.25893e-05,7.64218,1,2,0.2,300
1.58489e-05,7.72189,1,2,0.2,300
1.99526e-05,7.78876,1,2,0.2,300
2.51189e-05,7.84435,1,2,0.2,300
3.16228e-05,7.89019,1,2,0.2,300
3.98107e-05,7.92773,1,2,0.2,300
5.01187e-05,7.9583,1,2,0.2,300
6.30957e-05,7.98308,1,2,0.2,300
7.94328e-05,8.00308,1,2,0.2,300
0.0001,8.01918,1,2,0.2,300
1.25893e-09,0.701392,2,2,0.5,300
1.58489e-09,0.785197,2,2,0.5,300
1.99526e-09,0.874297,2,2,0.5,300
2.51189e-09,0.968759,2,2,0.5,300
3.16228e-09,1.0687,2,2,0.5,300
3.98107e-09,1.17426,2,2,0.5,300
5.01187e-09,1.28561,2,2,0.5,300
6.30957e-09,1.40294,2,2,0.5,300
7.94328e-09,1.52642,2,2,0.5,300
1e-08,1.65622,2,2,0.5,300
1.25893e-08,1.79249,2,2,0.5,300
1.58489e-08,1.93537,2,2,0.5,300
1.99526e-08,2.08498,2,2,0.5,300
2.51189e-08,2.24141,2,2,0.5,300
3.16228e-08,2.40473,2,2,0.5,300
3.98107e-08,2.57496,2,2,0.5,300
5.01187e-08,2.75209,2,2,0.5,300
6.30957e-08,2.93604,2,2,0.5,300
7.94328e-08,3.12664,2,2,0.5,300
1e-07,3.32359,2,2,0.5,300
1.25893e-07,3.52645,2,2,0.5,300
1.58489e-07,3.73461,2,2,0.5,300
1.99526e-07,3.94728,2,2,0.5,300
2.51189e-07,4.16349,2,2,0.5,300
3.16228e-07,4.38208,2,2,0.5,300
3.98107e-07,4.60176,2,2,0.5,300
5.01187e-07,4.82106,2,2,0.5,300
6.30957e-07,5.0384,2,2,0.5,300
7.94328e-07,5.2521,2,2,0.5,300
1e-06,5.46035,2,2,0.5,300
1.25893e-06,5.66131,2,2,0.5,300
1.58489e-06,5.85312,2,2,0.5,300
1.99526e-06,6.03399,2,2,0.5,300
2.51189e-06,6.20233,2,2,0.5,300
3.16228e-06,6.35682,2,2,0.5,300
3.98107e-06,6.49657,2,2,0.5,300
5.01187e-06,6.62115,2,2,0.5,300
6.30957e-06,6.73062,2,2,0.5,300
7.94328e-06,6.82551,2,2,0.5,300
1e-05,6.90671,2,2,0.5,300
1.25893e-05,6.97539,2,2,0.5,300
1.58489e-05,7.0329,2,2,0.5,300
1.99526e-05,7.08061,2,2,0.5,300
2.51189e-05,7.1199,2,2,0.5,300
3.16228e-05,7.15203,2,2,0.5,300
3.98107e-05,7.17816,2,2,0.5,300
5.01187e-05,7.19933,2,2,0.5,300
6.30957e-05,7.21641,2,2,0.5,300
7.94328e-05,7.23014,2,2,0.5,300
0.0001,7.24116,2,2,0.5,300
1.25893e-09,0.640183,2,2,0.2,200
1.58489e-09,0.718496,2,2,0.2,200
1.99526e-09,0.800585,2,2,0.2,200
2.51189e-09,0.886034,2,2,0.2,200
3.16228e-09,0.974456,2,2,0.2,200
3.98107e-09,1.0655,2,2,0.2,200
5.01187e-09,1.15885,2,2,0.2,200
6.30957e-09,1.2542,2,2,0.2,200
7.94328e-09,1.35131,2,2,0.2,200
1e-08,1.44993,2,2,0.2,200
1.25893e-08,1.54987,2,2,0.2,200
1.58489e-08,1.65098,2,2,0.2,200
1.99526e-08,1.7532,2,2,0.2,200
2.51189e-08,1.85649,2,2,0.2,200
3.16228e-08,1.96089,2,2,0.2,200
3.98107e-08,2.06647,2,2,0.2,200
5.01187e-08,2.17329,2,2,0.2,200
6.30957e-08,2.2814,2,2,0.2,200
7.94328e-08,2.39078,2,2,0.2,200
1e-07,2.50133,2,2,0.2,200
1.25893e-07,2.61284,2,2,0.2,200
1.58489e-07,2.72506,2,2,0.2,200
1.99526e-07,2.83768,2,2,0.2,200
2.51189e-07,2.95038,2,2,0.2,200
3.16228e-07,3.06286,2,2,0.2,200
3.98107e-07,3.17484,2,2,0.2,200
5.01187e-07,3.28603,2,2,0.2,200
6.30957e-07,3.39607,2,2,0.2,200
7.94328e-07,3.50445,2,2,0.2,200
1e-06,3.61049,2,2,0.2,200
1.25893e-06,3.7133,2,2,0.2,200
1.58489e-06,3.81183,2,2,0.2,200
1.99526e-06,3.90498,2,2,0.2,200
2.51189e-06,3.99169,2,2,0.2,200
3.16228e-06,4.07108,2,2,0.2,200
3.98107e-06,4.14256,2,2,0.2,200
5.01187e-06,4.20588,2,2,0.2,200
6.30957e-06,4.26109,2,2,0.2,200
7.94328e-06,4.30856,2,2,0.2,200
1e-05,4.34885,2,2,0.2,200
1.25893e-05,4.38267,2,2,0.2,200
1.58489e-05,4.41077,2,2,0.2,200
1.99526e-05,4.43394,2,2,0.2,200
2.51189e-05,4.4529,2,2,0.2,200
3.16228e-05,4.46834,2,2,0.2,200
3.98107e-05,4.48085,2,2,0.2,200
5.01187e-05,4.49094,2,2,0.2,200
6.30957e-05,4.49906,2,2,0.2,200
7.94328e-05,4.50558,2,2,0.2,200
0.0001,4.5108,2,2,0.2,200
1.25893e-09,0.88303,2,2,0.1,300
1.58489e-09,0.993244,2,2,0.1,300
1.99526e-09,1.10768,2,2,0.1,300
2.51189e-09,1.22516,2,2,0.1,300
3.16228e-09,1.34457,2,2,0.1,300
3.98107e-09,1.46486,2,2,0.1,300
5.01187e-09,1.58512,2,2,0.1,300
6.30957e-09,1.7046,2,2,0.1,300
7.94328e-09,1.82268,2,2,0.1,300
1e-08,1.93895,2,2,0.1,300
1.25893e-08,2.05316,2,2,0.1,300
1.58489e-08,2.16519,2,2,0.1,300
1.99526e-08,2.27512,2,2,0.1,300
2.51189e-08,2.38312,2,2,0.1,300
3.16228e-08,2.48948,2,2,0.1,300
3.98107e-08,2.59453,2,2,0.1,300
5.01187e-08,2.69862,2,2,0.1,300
6.30957e-08,2.80207,2,2,0.1,300
7.94328e-08,2.90509,2,2,0.1,300
1e-07,3.00779,2,2,0.1,300
1.25893e-07,3.11014,2,2,0.1,300
1.58489e-07,3.21198,2,2,0.1,300
1.99526e-07,3.31304,2,2,0.1,300
2.51189e-07,3.41297,2,2,0.1,300
3.16228e-07,3.51137,2,2,0.1,300
3.98107e-07,3.60776,2,2,0.1,300
5.01187e-07,3.70165,2,2,0.1,300
6.30957e-07,3.79249,2,2,0.1,300
7.94328e-07,3.87965,2,2,0.1,300
1e-06,3.96247,2,2,0.1,300
1.25893e-06,4.04028,2,2,0.1,300
